Category,Name,ID,Verbose ID,pValue,MOK,MUC16,DYNC2I1,TMEM67,WDR27,CES4A,STK36,ELF3,PLK2,MICAL3,CEP126,KIF27,SPAG17,DNAAF1,H4C16,CFAP44,LINC00342,CCDC30,DNAH5,MUC4,ABCA13,NEIL1,HYDIN,KLF5,CDHR3,DZIP1L,PIK3R3,CFAP157,AHNAK2,DNAH1
GO: Biological Process,sperm motility,GO:0097722,go-biological-process_GO:0097722_sperm_motility,1.27606504570425E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
GO: Biological Process,cilium movement involved in cell motility,GO:0060294,go-biological-process_GO:0060294_cilium_movement_involved_in_cell_motility,1.76501754643989E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
GO: Biological Process,cilium-dependent cell motility,GO:0060285,go-biological-process_GO:0060285_cilium-dependent_cell_motility,1.93149985759781E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
GO: Biological Process,cilium or flagellum-dependent cell motility,GO:0001539,go-biological-process_GO:0001539_cilium_or_flagellum-dependent_cell_motility,1.93149985759781E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
GO: Biological Process,inner dynein arm assembly,GO:0036159,go-biological-process_GO:0036159_inner_dynein_arm_assembly,2.38658588336721E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GO: Biological Process,spermatid development,GO:0007286,go-biological-process_GO:0007286_spermatid_development,4.0975890287245E-04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO: Biological Process,spermatid differentiation,GO:0048515,go-biological-process_GO:0048515_spermatid_differentiation,4.71978798047787E-04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO: Biological Process,outer dynein arm assembly,GO:0036158,go-biological-process_GO:0036158_outer_dynein_arm_assembly,4.81497839442687E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GO: Biological Process,determination of left/right symmetry,GO:0007368,go-biological-process_GO:0007368_determination_of_left/right_symmetry,0.0011659252861158100,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GO: Biological Process,left/right pattern formation,GO:0060972,go-biological-process_GO:0060972_left/right_pattern_formation,0.0013487364421308300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GO: Biological Process,positive regulation of transcription by transcription factor localization,GO:0061586,go-biological-process_GO:0061586_positive_regulation_of_transcription_by_transcri...,0.0013575099389065000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GO: Biological Process,cell-cell signaling via exosome,GO:0099156,go-biological-process_GO:0099156_cell-cell_signaling_via_exosome,0.0013575099389065000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GO: Biological Process,negative regulation of T cell mediated cytotoxicity directed against tumor cell target,GO:0002853,go-biological-process_GO:0002853_negative_regulation_of_T_cell_mediated_cytotoxic...,0.0013575099389065000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GO: Biological Process,determination of bilateral symmetry,GO:0009855,go-biological-process_GO:0009855_determination_of_bilateral_symmetry,0.0014216771850259500,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GO: Biological Process,specification of symmetry,GO:0009799,go-biological-process_GO:0009799_specification_of_symmetry,0.0014216771850259500,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GO: Biological Process,regulation of centrosome duplication,GO:0010824,go-biological-process_GO:0010824_regulation_of_centrosome_duplication,0.002259590142101800,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO: Biological Process,ciliary transition zone assembly,GO:1905349,go-biological-process_GO:1905349_ciliary_transition_zone_assembly,0.002713242773918590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GO: Biological Process,intramanchette transport,GO:1990953,go-biological-process_GO:1990953_intramanchette_transport,0.002713242773918590,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO: Cellular Component,cilium,GO:0005929,go-cellular-component_GO:0005929_cilium,5.57792769279546E-11,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1
GO: Cellular Component,axoneme,GO:0005930,go-cellular-component_GO:0005930_axoneme,1.09437490806731E-08,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
GO: Cellular Component,ciliary plasm,GO:0097014,go-cellular-component_GO:0097014_ciliary_plasm,1.13143846013909E-08,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
GO: Cellular Component,microtubule cytoskeleton,GO:0015630,go-cellular-component_GO:0015630_microtubule_cytoskeleton,2.99689752882226E-08,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
GO: Cellular Component,plasma membrane bounded cell projection cytoplasm,GO:0032838,go-cellular-component_GO:0032838_plasma_membrane_bounded_cell_projection_cytoplasm,2.02306496221739E-07,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
GO: Cellular Component,cytoplasmic region,GO:0099568,go-cellular-component_GO:0099568_cytoplasmic_region,4.77338094186415E-07,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
GO: Cellular Component,axonemal central apparatus,GO:1990716,go-cellular-component_GO:1990716_axonemal_central_apparatus,2.77787562506109E-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GO: Cellular Component,dynein complex,GO:0030286,go-cellular-component_GO:0030286_dynein_complex,5.67746199918655E-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GO: Cellular Component,ciliary base,GO:0097546,go-cellular-component_GO:0097546_ciliary_base,6.33309523836049E-05,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO: Cellular Component,microtubule associated complex,GO:0005875,go-cellular-component_GO:0005875_microtubule_associated_complex,6.92808919781747E-05,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GO: Cellular Component,microtubule organizing center,GO:0005815,go-cellular-component_GO:0005815_microtubule_organizing_center,2.06960180770441E-04,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
GO: Cellular Component,axonemal dynein complex,GO:0005858,go-cellular-component_GO:0005858_axonemal_dynein_complex,5.46563268538359E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GO: Cellular Component,motile cilium,GO:0031514,go-cellular-component_GO:0031514_motile_cilium,0.0013884701068378500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GO: Cellular Component,axonemal central pair projection,GO:1990718,go-cellular-component_GO:1990718_axonemal_central_pair_projection,0.0027727302860826500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GO: Cellular Component,spindle pole,GO:0000922,go-cellular-component_GO:0000922_spindle_pole,0.0028141490890838900,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO: Cellular Component,centrosome,GO:0005813,go-cellular-component_GO:0005813_centrosome,0.003810850738684830,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GO: Cellular Component,spindle,GO:0005819,go-cellular-component_GO:0005819_spindle,0.003866784708926700,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO: Cellular Component,microtubule,GO:0005874,go-cellular-component_GO:0005874_microtubule,0.0059853266597375600,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GO: Cellular Component,interphase microtubule organizing center,GO:0031021,go-cellular-component_GO:0031021_interphase_microtubule_organizing_center,0.006917912384498880,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
