"Category","Name","ID","Verbose ID","pValue",S100A2,TNFRSF6B,CDC42EP5,SLC34A2,SAA1,SAA2,PI3,MUC5B,LCN2,RARRES1,IGFBP5,BPIFA1,S100A16,KRT18,CXCL6,ABCA13,MUC5AC,AQP5,SERPINB3,PDZK1IP1,SERPINB4,CXCL17,CFB,AGR2,SFN,S100A14,ZG16B,MSMB,ASS1,SLPI
"GO: Biological Process","neutrophil mediated cytotoxicity","GO:0070942","go-biological-process_GO:0070942_neutrophil_mediated_cytotoxicity",7.034246232510609E-6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","leukocyte mediated cytotoxicity","GO:0001909","go-biological-process_GO:0001909_leukocyte_mediated_cytotoxicity",9.260948886265038E-6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"GO: Biological Process","granulocyte migration","GO:0097530","go-biological-process_GO:0097530_granulocyte_migration",1.2296674608338708E-5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"GO: Biological Process","cell chemotaxis","GO:0060326","go-biological-process_GO:0060326_cell_chemotaxis",1.6669185306924684E-5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"GO: Biological Process","innate immune response","GO:0045087","go-biological-process_GO:0045087_innate_immune_response",2.1145546074328512E-5,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1
"GO: Biological Process","biological process involved in symbiotic interaction","GO:0044403","go-biological-process_GO:0044403_biological_process_involved_in_symbiotic_interac...",2.1257860228173792E-5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"GO: Biological Process","negative regulation of peptidase activity","GO:0010466","go-biological-process_GO:0010466_negative_regulation_of_peptidase_activity",3.740345600500628E-5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
"GO: Biological Process","killing by host of symbiont cells","GO:0051873","go-biological-process_GO:0051873_killing_by_host_of_symbiont_cells",4.027170631185138E-5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","leukocyte chemotaxis","GO:0030595","go-biological-process_GO:0030595_leukocyte_chemotaxis",6.941537674190301E-5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"GO: Biological Process","neutrophil mediated immunity","GO:0002446","go-biological-process_GO:0002446_neutrophil_mediated_immunity",7.679285495017337E-5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","myeloid leukocyte migration","GO:0097529","go-biological-process_GO:0097529_myeloid_leukocyte_migration",8.590490839752321E-5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"GO: Biological Process","acute inflammatory response","GO:0002526","go-biological-process_GO:0002526_acute_inflammatory_response",9.597740740438426E-5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GO: Biological Process","humoral immune response","GO:0006959","go-biological-process_GO:0006959_humoral_immune_response",1.0378039093742521E-4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"GO: Biological Process","acute-phase response","GO:0006953","go-biological-process_GO:0006953_acute-phase_response",1.1374311191657995E-4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GO: Biological Process","antimicrobial humoral response","GO:0019730","go-biological-process_GO:0019730_antimicrobial_humoral_response",1.515347296055533E-4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GO: Biological Process","protection from natural killer cell mediated cytotoxicity","GO:0042270","go-biological-process_GO:0042270_protection_from_natural_killer_cell_mediated_cyt...",1.5758595665614687E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"GO: Biological Process","negative regulation of proteolysis","GO:0045861","go-biological-process_GO:0045861_negative_regulation_of_proteolysis",2.5430296811275574E-4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
"GO: Biological Process","negative regulation of hydrolase activity","GO:0051346","go-biological-process_GO:0051346_negative_regulation_of_hydrolase_activity",2.786401120786596E-4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
"GO: Biological Process","antibacterial humoral response","GO:0019731","go-biological-process_GO:0019731_antibacterial_humoral_response",3.6093638859776536E-4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GO: Biological Process","regulation of defense response","GO:0031347","go-biological-process_GO:0031347_regulation_of_defense_response",5.231977003551345E-4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
"GO: Biological Process","leukocyte migration","GO:0050900","go-biological-process_GO:0050900_leukocyte_migration",6.198419395555302E-4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"GO: Biological Process","positive regulation of monocyte chemotaxis","GO:0090026","go-biological-process_GO:0090026_positive_regulation_of_monocyte_chemotaxis",6.489426899809316E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"GO: Biological Process","inflammatory response","GO:0006954","go-biological-process_GO:0006954_inflammatory_response",6.661027195292742E-4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"GO: Biological Process","regulation of peptidase activity","GO:0052547","go-biological-process_GO:0052547_regulation_of_peptidase_activity",6.734768547045152E-4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
"GO: Biological Process","regulation of leukocyte mediated cytotoxicity","GO:0001910","go-biological-process_GO:0001910_regulation_of_leukocyte_mediated_cytotoxicity",8.741895413472522E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"GO: Biological Process","leukocyte mediated immunity","GO:0002443","go-biological-process_GO:0002443_leukocyte_mediated_immunity",9.551983923164192E-4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"GO: Biological Process","locomotion","GO:0040011","go-biological-process_GO:0040011_locomotion",9.571034027163976E-4,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"GO: Biological Process","immune effector process","GO:0002252","go-biological-process_GO:0002252_immune_effector_process",0.0011578070297340115,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"GO: Biological Process","regulation of monocyte chemotaxis","GO:0090025","go-biological-process_GO:0090025_regulation_of_monocyte_chemotaxis",0.0011784529584289649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"GO: Biological Process","multicellular organismal-level homeostasis","GO:0048871","go-biological-process_GO:0048871_multicellular_organismal-level_homeostasis",0.001180250585404014,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"GO: Biological Process","chemotaxis","GO:0006935","go-biological-process_GO:0006935_chemotaxis",0.0012231037172814791,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"GO: Biological Process","taxis","GO:0042330","go-biological-process_GO:0042330_taxis",0.0012379927056673787,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"GO: Biological Process","neutrophil chemotaxis","GO:0030593","go-biological-process_GO:0030593_neutrophil_chemotaxis",0.0012710212997219842,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","negative regulation of skeletal muscle hypertrophy","GO:1904205","go-biological-process_GO:1904205_negative_regulation_of_skeletal_muscle_hypertrophy",0.0014528548598262412,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","response to growth hormone","GO:0060416","go-biological-process_GO:0060416_response_to_growth_hormone",0.001462333481285522,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GO: Biological Process","regulation of cell killing","GO:0031341","go-biological-process_GO:0031341_regulation_of_cell_killing",0.0016182571238909482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"GO: Biological Process","myeloid leukocyte mediated immunity","GO:0002444","go-biological-process_GO:0002444_myeloid_leukocyte_mediated_immunity",0.0017661164093063268,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","biological process involved in interaction with symbiont","GO:0051702","go-biological-process_GO:0051702_biological_process_involved_in_interaction_with_...",0.0018587603515516945,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","negative regulation of natural killer cell mediated cytotoxicity","GO:0045953","go-biological-process_GO:0045953_negative_regulation_of_natural_killer_cell_media...",0.0019431831121955038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"GO: Biological Process","negative regulation of natural killer cell mediated immunity","GO:0002716","go-biological-process_GO:0002716_negative_regulation_of_natural_killer_cell_media...",0.002029679085153064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"GO: Biological Process","neutrophil migration","GO:1990266","go-biological-process_GO:1990266_neutrophil_migration",0.0021205189723741726,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","negative regulation of defense response","GO:0031348","go-biological-process_GO:0031348_negative_regulation_of_defense_response",0.00218034419503368,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"GO: Biological Process","neutrophil homeostasis","GO:0001780","go-biological-process_GO:0001780_neutrophil_homeostasis",0.0022080718785151628,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","negative regulation of endopeptidase activity","GO:0010951","go-biological-process_GO:0010951_negative_regulation_of_endopeptidase_activity",0.002331176806992745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"GO: Biological Process","leukocyte homeostasis","GO:0001776","go-biological-process_GO:0001776_leukocyte_homeostasis",0.002331176806992745,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","negative regulation of leukocyte mediated cytotoxicity","GO:0001911","go-biological-process_GO:0001911_negative_regulation_of_leukocyte_mediated_cytoto...",0.0025863194267341824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"GO: Biological Process","argininosuccinate metabolic process","GO:0000053","go-biological-process_GO:0000053_argininosuccinate_metabolic_process",0.0029036691931096674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GO: Biological Process","biofilm formation","GO:0042710","go-biological-process_GO:0042710_biofilm_formation",0.0029036691931096674,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","negative regulation of single-species biofilm formation","GO:1900191","go-biological-process_GO:1900191_negative_regulation_of_single-species_biofilm_fo...",0.0029036691931096674,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","regulation of single-species biofilm formation","GO:1900190","go-biological-process_GO:1900190_regulation_of_single-species_biofilm_formation",0.0029036691931096674,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","single-species biofilm formation in or on host organism","GO:0044407","go-biological-process_GO:0044407_single-species_biofilm_formation_in_or_on_host_o...",0.0029036691931096674,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","single-species biofilm formation","GO:0044010","go-biological-process_GO:0044010_single-species_biofilm_formation",0.0029036691931096674,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","negative regulation of single-species biofilm formation in or on host organism","GO:1900229","go-biological-process_GO:1900229_negative_regulation_of_single-species_biofilm_fo...",0.0029036691931096674,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","regulation of single-species biofilm formation in or on host organism","GO:1900228","go-biological-process_GO:1900228_regulation_of_single-species_biofilm_formation_i...",0.0029036691931096674,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","immune response in nasopharyngeal-associated lymphoid tissue","GO:0002395","go-biological-process_GO:0002395_immune_response_in_nasopharyngeal-associated_lym...",0.0029036691931096674,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","immune response in gut-associated lymphoid tissue","GO:0002387","go-biological-process_GO:0002387_immune_response_in_gut-associated_lymphoid_tissue",0.0029036691931096674,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","aggregation of unicellular organisms","GO:0098630","go-biological-process_GO:0098630_aggregation_of_unicellular_organisms",0.0029036691931096674,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","positive regulation of cell migration","GO:0030335","go-biological-process_GO:0030335_positive_regulation_of_cell_migration",0.0032276960855448754,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"GO: Biological Process","regulation of response to external stimulus","GO:0032101","go-biological-process_GO:0032101_regulation_of_response_to_external_stimulus",0.0032618481908635467,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
"GO: Biological Process","cellular response to cAMP","GO:0071320","go-biological-process_GO:0071320_cellular_response_to_cAMP",0.003316272936229645,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GO: Biological Process","negative regulation of cell killing","GO:0031342","go-biological-process_GO:0031342_negative_regulation_of_cell_killing",0.003427539355965475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"GO: Biological Process","positive regulation of cell motility","GO:2000147","go-biological-process_GO:2000147_positive_regulation_of_cell_motility",0.00387956773206044,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"GO: Biological Process","regulation of response to stress","GO:0080134","go-biological-process_GO:0080134_regulation_of_response_to_stress",0.004086001770270786,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0
"GO: Biological Process","secretion by tissue","GO:0032941","go-biological-process_GO:0032941_secretion_by_tissue",0.004131337662926492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"GO: Biological Process","regulation of neutrophil mediated killing of gram-negative bacterium","GO:0070951","go-biological-process_GO:0070951_regulation_of_neutrophil_mediated_killing_of_gra...",0.004352445767141323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","regulation of neutrophil mediated killing of bacterium","GO:0070950","go-biological-process_GO:0070950_regulation_of_neutrophil_mediated_killing_of_bac...",0.004352445767141323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","cellular response to oleic acid","GO:0071400","go-biological-process_GO:0071400_cellular_response_to_oleic_acid",0.004352445767141323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GO: Biological Process","cellular response to amine stimulus","GO:0071418","go-biological-process_GO:0071418_cellular_response_to_amine_stimulus",0.004352445767141323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GO: Biological Process","positive regulation of endothelial tube morphogenesis","GO:1905956","go-biological-process_GO:1905956_positive_regulation_of_endothelial_tube_morphoge...",0.004352445767141323,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","siderophore transport","GO:0015891","go-biological-process_GO:0015891_siderophore_transport",0.004352445767141323,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","positive regulation of iron ion import across plasma membrane","GO:1904440","go-biological-process_GO:1904440_positive_regulation_of_iron_ion_import_across_pl...",0.004352445767141323,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","regulation of skeletal muscle hypertrophy","GO:1904204","go-biological-process_GO:1904204_regulation_of_skeletal_muscle_hypertrophy",0.004352445767141323,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","positive regulation of iron ion transmembrane transport","GO:0034761","go-biological-process_GO:0034761_positive_regulation_of_iron_ion_transmembrane_tr...",0.004352445767141323,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","positive regulation of iron ion transport","GO:0034758","go-biological-process_GO:0034758_positive_regulation_of_iron_ion_transport",0.004352445767141323,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GO: Biological Process","positive regulation of locomotion","GO:0040017","go-biological-process_GO:0040017_positive_regulation_of_locomotion",0.004372053066646808,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"GO: Biological Process","regulation of body fluid levels","GO:0050878","go-biological-process_GO:0050878_regulation_of_body_fluid_levels",0.004475294373729817,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"GO: Biological Process","mononuclear cell migration","GO:0071674","go-biological-process_GO:0071674_mononuclear_cell_migration",0.004544058133920295,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"GO: Cellular Component","microvillus","GO:0005902","go-cellular-component_GO:0005902_microvillus",9.398653035399527E-4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
